ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Home_Occupants,Home_Internet_Access,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
101,USA,NC,2022,11,Female,16,1,Bus,4,.364,41,Other,561,658,193,28,Same length,70,70,Same length,Summer,No,No,Other,7,5,Yes - other,8,8,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
108,USA,NC,2017,12,Male,17,1,Walk,0,.365,43,Baseball/Softball,0,0,0,25,Right foot,77.5,80,Ring finger,Spring,No,No,Computers and technology,6,4,Yes - broadband connection,100,145,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,International aid
115,USA,NC,2014,10,Female,18,1,Car,10,.482,39,Other,348,401,305,23,Right foot,90,90,Same length,Spring,No,No,Science,7,4,Yes - broadband connection,30,40,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy,Doctor or nurse,Health
116,USA,NC,2020,12,Male,18,1,Bus,30,.364,41,Other,400,500,500,28,Same length,76.2,66.04,Index finger,Spring,No,No,Other,6,5,Yes - broadband connection,5,4,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy,Other,Other
120,USA,NC,2016,11,Female,16,4,Car,15,.443,36,Walking/Hiking,0,500,500,24,Right foot,92,92,Same length,Spring,No,Yes,Mathematics and statistics,6,6,Yes - other,200,500,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,Health
125,USA,NC,2021,11,Male,17,2,Bus,15,.471,56,Tennis,600,500,600,29,Right foot,95,105,Ring finger,Summer,No,Yes,Mathematics and statistics,7,4,Yes - broadband connection,120,1400,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
126,USA,NC,2020,12,Female,15,3,Bus,10,.578,92,Basketball,3000,3000,3000,23,Same length,70,62,Index finger,Spring,No,No,Mathematics and statistics,8,5,Yes - other,5,7,0,0,1,2,0,0,1,Some,Graduate degree,Pop,Freeze time,Rich,Friend,International aid
129,USA,NC,2017,12,Female,17,1,Walk,10,.746,44,Other,900,950,700,14,Left foot,47,49,Ring finger,Fall,Yes,No,Science,7,5,Yes - broadband connection,100,100,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,International aid
131,USA,NC,2022,12,Female,17,2,Bus,10,.592,58,Tennis,1000,900,1000,20.23,Same length,55,55,Same length,Summer,No,No,Art,6,5,Yes - broadband connection,7,8,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,International aid
141,USA,NC,2020,11,Female,17,2,Car,7,.485,39,Soccer,1000,1000,1000,22,Same length,66,68,Ring finger,Fall,No,No,Science,6,4,Yes - broadband connection,50,100,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
143,USA,NC,2018,11,Female,16,2,Car,12,.362,37,Athletics,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Art,6,4,Yes - broadband connection,80,100,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
145,USA,NC,2021,11,Female,17,3,Walk,15,.392,27,Walking/Hiking,1000,1000,1000,24,Same length,55,55,Same length,Winter,No,No,Science,6,4,Yes - broadband connection,50,100,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Fly,Rich,Community leader or elder,Environment
148,USA,NC,2021,12,Male,17,2,Walk,5,.432,40,Tennis,1000,1000,1000,28,Left foot,55,55,Index finger,Fall,No,No,Mathematics and statistics,7,4,Yes - broadband connection,13,17,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy,Coach or club leader,Environment
149,USA,NC,2015,11,Female,17,1,Car,15,.25,67,Other,1000,1000,1000,20,Right foot,25,30,Same length,Winter,Yes,No,Mathematics and statistics,4,3,Yes - dial-up connection,15,50,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development
151,USA,NC,2020,12,Male,17,1,Car,10,.462,51,Skateboarding/Rollerblading,1000,1000,500,24,Right foot,70,55,Ring finger,Fall,No,No,Physical education,5,3,Yes - broadband connection,100,90,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports"
152,USA,NC,2018,12,Female,17,2,Car,7,.356,37,Bowling,800,800,600,24,Same length,70,75,Ring finger,Winter,No,No,Science,4,3,Yes - other,35,39,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
153,USA,NC,2012,12,Female,17,1,Walk,12,.468,31,Basketball,700,550,650,24,Same length,79,81,Ring finger,Spring,Yes,No,Mathematics and statistics,7,6,Yes - broadband connection,10,15,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
158,USA,NC,2017,10,Male,15,2,Car,18,.317,31,Running/Jogging,305,310,385,25,Same length,60,70,Ring finger,Winter,Yes,No,Mathematics and statistics,7,4,Yes - broadband connection,2,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid
159,USA,NC,2015,12,Female,15,2,Bus,60,.402,38,None,1000,900,1000,22,Right foot,55,55,Same length,Fall,No,No,Music,5,3,Yes - broadband connection,50,75,0,25,7,14,0,0,7,A lot,Other,Punk rock,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
201,USA,NC,2022,11,Female,16,1,Bus,4,.364,41,Other,561,658,193,28,Same length,70,70,Same length,Summer,No,No,Other,7,5,Yes - other,8,8,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
202,USA,NC,2018,12,Male,21,2,Walk,10,.317,43,Baseball/Softball,1000,738,674,27.5,Left foot,40,55,Ring finger,Winter,Yes,No,Science,6,1,Yes - broadband connection,150,150,20,3,3,2,7,0,2,A lot,Graduate degree,Other,Telepathy,Healthy,Doctor or nurse,"Arts, culture, sports"
203,USA,NC,2015,12,Female,16,1,Car,10,.313,38,Baseball/Softball,80,70,65,21,Right foot,73,75,Ring finger,Spring,No,No,Mathematics and statistics,9,4,Yes - broadband connection,20,20,2,1,6,20,5,0,5,Very little,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development
206,USA,NC,2020,12,Male,17,1,Car,10,.324,40,Martial Arts,754,963,749,26,Same length,92,102,Ring finger,Summer,No,No,Mathematics and statistics,8,4,Yes - broadband connection,51,46,0,2,4,20,10,20,3,A lot,Undergraduate degree,Rock and roll,Fly,Healthy,Religious figure,Religious
207,USA,NC,2021,11,Male,17,2,Car,10,.235,34,Running/Jogging,650,500,400,26.5,Left foot,35,37,Ring finger,Fall,Yes,No,Science,8,4,Yes - broadband connection,1,4,14,0,4,24,6,6,4,Some,Undergraduate degree,Other,Freeze time,Happy,Other,Environment
208,USA,NC,2017,12,Male,17,1,Walk,0,.365,43,Baseball/Softball,0,0,0,25,Right foot,77.5,80,Ring finger,Spring,No,No,Computers and technology,6,4,Yes - broadband connection,100,145,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,International aid
209,USA,NC,2020,12,Male,16,1,Bus,10,.37,70,Athletics,1000,1000,599,30,Same length,64,51,Index finger,Spring,Yes,Yes,History,8,4,Yes - broadband connection,25,31,0,1,2,0,4,8,1,Some,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Famous,Relative,Education/Youth development
