ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Home_Occupants,Home_Internet_Access,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
234,USA,NC,2017,11,Male,16,2,Car,9,.813,54,Athletics,750,750,200,26,Right foot,75,87,Ring finger,Summer,Yes,No,Physical education,8,5,Yes - broadband connection,30,100,4,3,3,1,1,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,International aid
235,USA,NC,2020,12,Male,18,2,Car,4,.829,47,Other,0,0,0,12,Same length,12,55,Same length,Summer,No,No,Music,8,4,Yes - other,100,10000,24,24,24,24,24,24,1,A lot,High school,Rap/Hip hop,Invisibility,Happy,Other,"Wildlife, animals"
237,USA,NC,2014,12,Female,16,3,Car,20,.373,41,Soccer,20,20,20,23,Right foot,80,80,Same length,Fall,Yes,No,Mathematics and statistics,8,6,Yes - other,0,0,0,1,1,1,2,1,1,Some,Some college,Other,Super strength,Happy,Religious figure,Religious
238,USA,NC,2019,11,Male,17,1,Car,7,.432,38,Golf,100,100,500,23,Same length,75,85,Ring finger,Summer,No,No,Physical education,6,5,Yes - broadband connection,10,25,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Telepathy,Rich,Friend,Health
239,USA,NC,2021,12,Male,15,2,Car,13,.335,50,None,1000,1000,1000,25,Same length,71,74,Ring finger,Summer,No,No,Art,9,3,Yes - broadband connection,0,0,23,54,52,44,71,0,0,Some,Other,Techno/Electronic,Freeze time,Happy,Friend,Other
240,USA,NC,2017,12,Male,17,1,Car,6,.723,50,Football (American),800,800,905,28,Same length,95,107,Ring finger,Fall,Yes,No,Physical education,7,4,Yes - broadband connection,100,250,6,8,8,5,10,15,2,Very little,Undergraduate degree,Country,Super strength,Happy,Sports person,Religious
241,USA,NC,2020,11,Female,17,2,Car,7,.485,39,Soccer,1000,1000,1000,22,Same length,66,68,Ring finger,Fall,No,No,Science,6,4,Yes - broadband connection,50,100,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
242,USA,NC,2018,12,Female,17,2,Walk,0,.487,38,Swimming,759,497,898,24,Same length,55,55,Index finger,Fall,Yes,No,Mathematics and statistics,7,2,Yes - broadband connection,100,100,0,10,20,30,0,0,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Friend,International aid
243,USA,NC,2018,11,Female,16,2,Car,12,.362,37,Athletics,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Art,6,4,Yes - broadband connection,80,100,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
245,USA,NC,2021,11,Female,17,3,Walk,15,.392,27,Walking/Hiking,1000,1000,1000,24,Same length,55,55,Same length,Winter,No,No,Science,6,4,Yes - broadband connection,50,100,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Fly,Rich,Community leader or elder,Environment
246,USA,NC,2016,10,Male,15,2,Bus,15,.5863,50,Hockey (Ice),900,800,800,23,Same length,69,73,Ring finger,Winter,No,No,Science,7,7,Yes - broadband connection,30,56,12,0,2,20,8,0,10,A lot,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals"
247,USA,NC,2022,11,Male,16,5,Car,5,.341,36,Soccer,487,481,615,26.67,Same length,40,39,Ring finger,Winter,No,Yes,Mathematics and statistics,7.5,5,Yes - broadband connection,50,250,7,8,11,50,7,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,International aid
249,USA,NC,2015,11,Female,17,1,Car,15,.25,67,Other,1000,1000,1000,20,Right foot,25,30,Same length,Winter,Yes,No,Mathematics and statistics,4,3,Yes - dial-up connection,15,50,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development
250,USA,NC,2020,12,Female,17,2,Car,5,.596,48,Soccer,1000,1000,1000,24,Same length,80,70,Index finger,Fall,No,No,Mathematics and statistics,7,4,Yes - other,60,50,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
251,USA,NC,2020,12,Male,17,1,Car,10,.462,51,Skateboarding/Rollerblading,1000,1000,500,24,Right foot,70,55,Ring finger,Fall,No,No,Physical education,5,3,Yes - broadband connection,100,90,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports"
252,USA,NC,2018,12,Female,17,2,Car,7,.356,37,Bowling,800,800,600,24,Same length,70,75,Ring finger,Winter,No,No,Science,4,3,Yes - other,35,39,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
253,USA,NC,2012,12,Female,17,1,Walk,12,.468,31,Basketball,700,550,650,24,Same length,79,81,Ring finger,Spring,Yes,No,Mathematics and statistics,7,6,Yes - broadband connection,10,15,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
254,USA,NC,2016,12,Female,17,1,Car,4,.921,56,Other,600,600,500,26,Same length,32,27,Index finger,Fall,No,No,Mathematics and statistics,7,4,Yes - broadband connection,100,140,0,6,2,6,5,15,3,Some,Graduate degree,Other,Telepathy,Healthy,Religious figure,International aid
